Fecha;Close
27-06-2006;535
28-06-2006;535
29-06-2006;545
30-06-2006;555
03-07-2006;560
04-07-2006;565
05-07-2006;565
06-07-2006;580
07-07-2006;595
10-07-2006;589,99
11-07-2006;590
12-07-2006;590
13-07-2006;583
14-07-2006;577,09
17-07-2006;570
18-07-2006;564
19-07-2006;564
20-07-2006;564
21-07-2006;564
24-07-2006;564
25-07-2006;564
26-07-2006;575
27-07-2006;588
28-07-2006;580
31-07-2006;580
01-08-2006;580
02-08-2006;580
03-08-2006;580
04-08-2006;580
07-08-2006;580
08-08-2006;580
09-08-2006;585
10-08-2006;590
11-08-2006;590
14-08-2006;590
16-08-2006;599,99
17-08-2006;600
18-08-2006;590
21-08-2006;584,99
22-08-2006;585
23-08-2006;570,11
24-08-2006;575
25-08-2006;575
28-08-2006;585
29-08-2006;590
30-08-2006;592
31-08-2006;600
01-09-2006;598
04-09-2006;598
05-09-2006;608
06-09-2006;604
07-09-2006;600
08-09-2006;605
11-09-2006;599,99
12-09-2006;598
13-09-2006;598
14-09-2006;597
15-09-2006;598
20-09-2006;600
21-09-2006;598,86
22-09-2006;596
25-09-2006;590
26-09-2006;595
27-09-2006;594,9
28-09-2006;594,9
29-09-2006;589,9
02-10-2006;570
03-10-2006;570
04-10-2006;570
05-10-2006;589,99
06-10-2006;588
10-10-2006;585,1
11-10-2006;585
12-10-2006;591
13-10-2006;597,5
16-10-2006;600
17-10-2006;595
18-10-2006;597,88
19-10-2006;598,1
20-10-2006;598
23-10-2006;580
24-10-2006;585
25-10-2006;585
26-10-2006;595
27-10-2006;585
30-10-2006;579,9
31-10-2006;579,49
02-11-2006;570
03-11-2006;575
06-11-2006;585
07-11-2006;600
08-11-2006;607
09-11-2006;607,1
10-11-2006;629
13-11-2006;635
14-11-2006;638
15-11-2006;637,99
16-11-2006;638
17-11-2006;630
20-11-2006;624,9
21-11-2006;635
22-11-2006;640
23-11-2006;649,9
24-11-2006;649,9
27-11-2006;655
28-11-2006;655
29-11-2006;679,99
30-11-2006;678
01-12-2006;674,97
04-12-2006;660
05-12-2006;660
06-12-2006;659,9
07-12-2006;659
11-12-2006;658,8
12-12-2006;653
13-12-2006;655
14-12-2006;654
15-12-2006;659
18-12-2006;659
19-12-2006;665
20-12-2006;660
21-12-2006;660
22-12-2006;660
26-12-2006;660
27-12-2006;650,36
28-12-2006;650
29-12-2006;655
02-01-2007;660
03-01-2007;660
04-01-2007;660
05-01-2007;656
08-01-2007;656
09-01-2007;645
10-01-2007;650
11-01-2007;643,97
12-01-2007;650
15-01-2007;650
16-01-2007;640
17-01-2007;640
18-01-2007;639,9
19-01-2007;626,99
22-01-2007;627,1
23-01-2007;628,5
24-01-2007;635
25-01-2007;632
26-01-2007;631,99
29-01-2007;625
30-01-2007;621
31-01-2007;620
01-02-2007;625
02-02-2007;629,99
05-02-2007;630
06-02-2007;640
07-02-2007;650
08-02-2007;660
09-02-2007;659
12-02-2007;656
13-02-2007;655
14-02-2007;680,76
15-02-2007;685
16-02-2007;684,28
19-02-2007;690
20-02-2007;675
21-02-2007;670
22-02-2007;670
23-02-2007;652
26-02-2007;635
27-02-2007;615,75
28-02-2007;630,01
01-03-2007;641,04
02-03-2007;665
05-03-2007;650
06-03-2007;650
07-03-2007;637
08-03-2007;646
09-03-2007;641,9
12-03-2007;642
13-03-2007;636
14-03-2007;635
15-03-2007;643
16-03-2007;642,5
19-03-2007;645
20-03-2007;644
21-03-2007;644
22-03-2007;650
23-03-2007;659,9
26-03-2007;655
27-03-2007;650
28-03-2007;650
29-03-2007;650
30-03-2007;649
02-04-2007;647,75
03-04-2007;647,75
04-04-2007;650
05-04-2007;649
09-04-2007;650
10-04-2007;660
11-04-2007;660
12-04-2007;660
13-04-2007;655
16-04-2007;654,91
17-04-2007;650
18-04-2007;650
19-04-2007;647
20-04-2007;650
23-04-2007;638
24-04-2007;636,1
25-04-2007;645,04
26-04-2007;650
27-04-2007;649,99
30-04-2007;650
02-05-2007;655
03-05-2007;650,02
04-05-2007;652
07-05-2007;665
08-05-2007;660
09-05-2007;670
10-05-2007;664,81
11-05-2007;669,98
14-05-2007;674,59
15-05-2007;668,99
16-05-2007;669,9
17-05-2007;664
18-05-2007;667,82
22-05-2007;653,9
23-05-2007;659,99
24-05-2007;665
25-05-2007;667
28-05-2007;665
29-05-2007;670
30-05-2007;672,88
31-05-2007;676,37
01-06-2007;674,99
04-06-2007;670
05-06-2007;668
06-06-2007;665
07-06-2007;664
08-06-2007;665
11-06-2007;665,5
12-06-2007;658,9
13-06-2007;664,77
14-06-2007;663,35
15-06-2007;660,41
18-06-2007;650
19-06-2007;654,99
20-06-2007;660
21-06-2007;669,8
22-06-2007;670
25-06-2007;667
26-06-2007;667,54
27-06-2007;665
28-06-2007;665
29-06-2007;670
03-07-2007;664,5
04-07-2007;660,01
05-07-2007;658
06-07-2007;655
09-07-2007;655
10-07-2007;641,01
11-07-2007;646
12-07-2007;646
13-07-2007;646
17-07-2007;648
18-07-2007;650
19-07-2007;656
20-07-2007;639,9
23-07-2007;637
24-07-2007;633,9
25-07-2007;628
26-07-2007;622,11
27-07-2007;627,01
30-07-2007;626,99
31-07-2007;627,92
01-08-2007;627
02-08-2007;627
03-08-2007;627
06-08-2007;617
07-08-2007;622,5
08-08-2007;628
09-08-2007;631,01
10-08-2007;621
13-08-2007;625
14-08-2007;620
16-08-2007;580
17-08-2007;590
20-08-2007;590
21-08-2007;607,5
22-08-2007;625
23-08-2007;620
24-08-2007;615
27-08-2007;630
28-08-2007;620
29-08-2007;620
30-08-2007;629
31-08-2007;630,1
03-09-2007;625,11
04-09-2007;630
05-09-2007;625
06-09-2007;635
07-09-2007;638
10-09-2007;632
11-09-2007;637,69
12-09-2007;630
13-09-2007;645
